1714354860, evm, v0.34.1, triangle-number, 3, solc 0.8.1, --instance-count 1 --call-count 2000
1715697828, evm, v0.34.1, triangle-number, 4.88, solc 0.8.1, --instance-count 1 --call-count 2000
1715697270, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1715697300, sol-wasm, v1.0.0, triangle-number, 21.61, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715737248, evm, v0.34.1, triangle-number, 4.94, solc 0.8.1, --instance-count 1 --call-count 2000
1715736720, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1715736708, sol-wasm, v1.0.0, triangle-number, 20.60, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715823636, evm, v0.34.1, triangle-number, 5.05, solc 0.8.1, --instance-count 1 --call-count 2000
1715823042, ink-wasm, v1.0.0, triangle-number, 29.02, ink! 4.3.0, --instance-count 1 --call-count 2000
1715823096, sol-wasm, v1.0.0, triangle-number, 20.02, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715909994, evm, v0.34.1, triangle-number, 4.86, solc 0.8.1, --instance-count 1 --call-count 2000
1715909472, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1715909520, sol-wasm, v1.0.0, triangle-number, 19.29, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715996358, evm, v0.34.1, triangle-number, 4.90, solc 0.8.1, --instance-count 1 --call-count 2000
1715995830, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1715995836, sol-wasm, v1.0.0, triangle-number, 21.87, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716082914, evm, v0.34.1, triangle-number, 4.99, solc 0.8.1, --instance-count 1 --call-count 2000
1716082368, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1716082380, sol-wasm, v1.0.0, triangle-number, 20.60, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716169176, evm, v0.34.1, triangle-number, 4.98, solc 0.8.1, --instance-count 1 --call-count 2000
1716168642, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1716168672, sol-wasm, v1.0.0, triangle-number, 19.84, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716255606, evm, v0.34.1, triangle-number, 4.94, solc 0.8.1, --instance-count 1 --call-count 2000
1716255084, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1716255120, sol-wasm, v1.0.0, triangle-number, 21.37, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716341940, evm, v0.34.1, triangle-number, 4.87, solc 0.8.1, --instance-count 1 --call-count 2000
1716341442, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1716341442, sol-wasm, v1.0.0, triangle-number, 20.60, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716428376, evm, v0.34.1, triangle-number, 4.91, solc 0.8.1, --instance-count 1 --call-count 2000
1716427890, ink-wasm, v1.0.0, triangle-number, 28.55, ink! 4.3.0, --instance-count 1 --call-count 2000
1716427824, sol-wasm, v1.0.0, triangle-number, 22.05, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716514776, evm, v0.34.1, triangle-number, 4.82, solc 0.8.1, --instance-count 1 --call-count 2000
1716514254, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1716514290, sol-wasm, v1.0.0, triangle-number, 20.61, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716601230, evm, v0.34.1, triangle-number, 4.96, solc 0.8.1, --instance-count 1 --call-count 2000
1716600672, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1716600690, sol-wasm, v1.0.0, triangle-number, 21.26, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716687720, evm, v0.34.1, triangle-number, 4.97, solc 0.8.1, --instance-count 1 --call-count 2000
1716687132, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1716687180, sol-wasm, v1.0.0, triangle-number, 20.16, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716774066, evm, v0.34.1, triangle-number, 4.97, solc 0.8.1, --instance-count 1 --call-count 2000
1716773514, ink-wasm, v1.0.0, triangle-number, 28.62, ink! 4.3.0, --instance-count 1 --call-count 2000
1716773526, sol-wasm, v1.0.0, triangle-number, 21.73, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716860370, evm, v0.34.1, triangle-number, 4.94, solc 0.8.1, --instance-count 1 --call-count 2000
1716859902, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1716859878, sol-wasm, v1.0.0, triangle-number, 21.81, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716946824, evm, v0.34.1, triangle-number, 5.04, solc 0.8.1, --instance-count 1 --call-count 2000
1716946248, ink-wasm, v1.0.0, triangle-number, 29.02, ink! 4.3.0, --instance-count 1 --call-count 2000
1716946272, sol-wasm, v1.0.0, triangle-number, 20.63, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717119624, evm, v0.34.1, triangle-number, 5.04, solc 0.8.1, --instance-count 1 --call-count 2000
1717119060, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1717119090, sol-wasm, v1.0.0, triangle-number, 19.74, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717206030, evm, v0.34.1, triangle-number, 5.01, solc 0.8.1, --instance-count 1 --call-count 2000
1717205484, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1717205532, sol-wasm, v1.0.0, triangle-number, 20.54, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717292466, evm, v0.34.1, triangle-number, 4.97, solc 0.8.1, --instance-count 1 --call-count 2000
1717291974, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1717291962, sol-wasm, v1.0.0, triangle-number, 21.65, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717378932, evm, v0.34.1, triangle-number, 4.98, solc 0.8.1, --instance-count 1 --call-count 2000
1717378356, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1717378398, sol-wasm, v1.0.0, triangle-number, 19.90, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717465302, evm, v0.34.1, triangle-number, 4.86, solc 0.8.1, --instance-count 1 --call-count 2000
1717464756, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1717464768, sol-wasm, v1.0.0, triangle-number, 20.71, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717551570, evm, v0.34.1, triangle-number, 4.93, solc 0.8.1, --instance-count 1 --call-count 2000
1717551036, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1717551060, sol-wasm, v1.0.0, triangle-number, 21.06, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717638006, evm, v0.34.1, triangle-number, 4.96, solc 0.8.1, --instance-count 1 --call-count 2000
1717637448, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1717637484, sol-wasm, v1.0.0, triangle-number, 20.46, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717724394, evm, v0.34.1, triangle-number, 4.87, solc 0.8.1, --instance-count 1 --call-count 2000
1717723830, ink-wasm, v1.0.0, triangle-number, 28.50, ink! 4.3.0, --instance-count 1 --call-count 2000
1717723848, sol-wasm, v1.0.0, triangle-number, 21.10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717810806, evm, v0.34.1, triangle-number, 4.90, solc 0.8.1, --instance-count 1 --call-count 2000
1717810272, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1717810314, sol-wasm, v1.0.0, triangle-number, 20.59, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717897314, evm, v0.34.1, triangle-number, 5.00, solc 0.8.1, --instance-count 1 --call-count 2000
1717896828, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1717896852, sol-wasm, v1.0.0, triangle-number, 21.04, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717983678, evm, v0.34.1, triangle-number, 4.89, solc 0.8.1, --instance-count 1 --call-count 2000
1717983132, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1717983174, sol-wasm, v1.0.0, triangle-number, 19.77, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718156478, evm, v0.34.1, triangle-number, 4.93, solc 0.8.1, --instance-count 1 --call-count 2000
1718155938, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1718156004, sol-wasm, v1.0.0, triangle-number, 20.65, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718242860, evm, v0.34.1, triangle-number, 4.83, solc 0.8.1, --instance-count 1 --call-count 2000
1718242308, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1718242326, sol-wasm, v1.0.0, triangle-number, 20.69, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718329188, evm, v0.34.1, triangle-number, 4.85, solc 0.8.1, --instance-count 1 --call-count 2000
1718328660, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1718328690, sol-wasm, v1.0.0, triangle-number, 19.34, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718415612, evm, v0.34.1, triangle-number, 4.85, solc 0.8.1, --instance-count 1 --call-count 2000
1718415090, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1718415096, sol-wasm, v1.0.0, triangle-number, 21.46, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718502168, evm, v0.34.1, triangle-number, 4.96, solc 0.8.1, --instance-count 1 --call-count 2000
1718501640, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1718501658, sol-wasm, v1.0.0, triangle-number, 22.04, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718588466, evm, v0.34.1, triangle-number, 5.00, solc 0.8.1, --instance-count 1 --call-count 2000
1718587908, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1718587962, sol-wasm, v1.0.0, triangle-number, 17.19, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718674866, evm, v0.34.1, triangle-number, 4.96, solc 0.8.1, --instance-count 1 --call-count 2000
1718674308, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1718674314, sol-wasm, v1.0.0, triangle-number, 22.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718761164, evm, v0.34.1, triangle-number, 5.01, solc 0.8.1, --instance-count 1 --call-count 2000
1718760636, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1718760678, sol-wasm, v1.0.0, triangle-number, 20.09, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718847630, evm, v0.34.1, triangle-number, 4.94, solc 0.8.1, --instance-count 1 --call-count 2000
1718847084, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1718847114, sol-wasm, v1.0.0, triangle-number, 21.25, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718934006, evm, v0.34.1, triangle-number, 4.95, solc 0.8.1, --instance-count 1 --call-count 2000
1718933466, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1718933478, sol-wasm, v1.0.0, triangle-number, 20.36, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719020538, evm, v0.34.1, triangle-number, 4.89, solc 0.8.1, --instance-count 1 --call-count 2000
1719019998, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1719020022, sol-wasm, v1.0.0, triangle-number, 19.98, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719106920, evm, v0.34.1, triangle-number, 4.89, solc 0.8.1, --instance-count 1 --call-count 2000
1719106656, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1719106356, sol-wasm, v1.0.0, triangle-number, 20.57, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719193338, evm, v0.34.1, triangle-number, 5.01, solc 0.8.1, --instance-count 1 --call-count 2000
1719192786, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1719192846, sol-wasm, v1.0.0, triangle-number, 20.14, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719279630, evm, v0.34.1, triangle-number, 4.90, solc 0.8.1, --instance-count 1 --call-count 2000
1719279132, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1719279180, sol-wasm, v1.0.0, triangle-number, 19.95, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719366054, evm, v0.34.1, triangle-number, 5.07, solc 0.8.1, --instance-count 1 --call-count 2000
1719365532, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1719365526, sol-wasm, v1.0.0, triangle-number, 20.92, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719538824, evm, v0.34.1, triangle-number, 4.92, solc 0.8.1, --instance-count 1 --call-count 2000
1719538284, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1719538332, sol-wasm, v1.0.0, triangle-number, 20.55, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719625302, evm, v0.34.1, triangle-number, 4.90, solc 0.8.1, --instance-count 1 --call-count 2000
1719624690, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1719624750, sol-wasm, v1.0.0, triangle-number, 20.64, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719711696, evm, v0.34.1, triangle-number, 4.98, solc 0.8.1, --instance-count 1 --call-count 2000
1719711144, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1719711186, sol-wasm, v1.0.0, triangle-number, 20.67, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719798210, evm, v0.34.1, triangle-number, 4.97, solc 0.8.1, --instance-count 1 --call-count 2000
1719797682, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1719797706, sol-wasm, v1.0.0, triangle-number, 20.16, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719884424, evm, v0.34.1, triangle-number, 4.79, solc 0.8.1, --instance-count 1 --call-count 2000
1719883956, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1719883986, sol-wasm, v1.0.0, triangle-number, 22.15, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719970848, evm, v0.34.1, triangle-number, 5.02, solc 0.8.1, --instance-count 1 --call-count 2000
1719970272, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1719970296, sol-wasm, v1.0.0, triangle-number, 21.54, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720057272, evm, v0.34.1, triangle-number, 5.00, solc 0.8.1, --instance-count 1 --call-count 2000
1720056738, ink-wasm, v1.0.0, triangle-number, 27.65, ink! 4.3.0, --instance-count 1 --call-count 2000
1720056786, sol-wasm, v1.0.0, triangle-number, 19.69, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720143594, evm, v0.34.1, triangle-number, 4.99, solc 0.8.1, --instance-count 1 --call-count 2000
1720143090, ink-wasm, v1.0.0, triangle-number, 29.13, ink! 4.3.0, --instance-count 1 --call-count 2000
1720143120, sol-wasm, v1.0.0, triangle-number, 21.36, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720229910, evm, v0.34.1, triangle-number, 5.01, solc 0.8.1, --instance-count 1 --call-count 2000
1720229370, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1720229406, sol-wasm, v1.0.0, triangle-number, 20.58, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720316556, evm, v0.34.1, triangle-number, 4.86, solc 0.8.1, --instance-count 1 --call-count 2000
1720316046, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1720316058, sol-wasm, v1.0.0, triangle-number, 20.74, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720402908, evm, v0.34.1, triangle-number, 4.90, solc 0.8.1, --instance-count 1 --call-count 2000
1720402356, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1720402392, sol-wasm, v1.0.0, triangle-number, 21.06, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720489320, evm, v0.34.1, triangle-number, 5.08, solc 0.8.1, --instance-count 1 --call-count 2000
1720488732, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1720488762, sol-wasm, v1.0.0, triangle-number, 20.00, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720575720, evm, v0.34.1, triangle-number, 5.00, solc 0.8.1, --instance-count 1 --call-count 2000
1720575180, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1720575192, sol-wasm, v1.0.0, triangle-number, 21.18, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720748490, evm, v0.34.1, triangle-number, 4.97, solc 0.8.1, --instance-count 1 --call-count 2000
1720747926, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1720747992, sol-wasm, v1.0.0, triangle-number, 16.52, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720835034, evm, v0.34.1, triangle-number, 4.92, solc 0.8.1, --instance-count 1 --call-count 2000
1720834476, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1720834518, sol-wasm, v1.0.0, triangle-number, 20.11, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720921518, evm, v0.34.1, triangle-number, 4.75, solc 0.8.1, --instance-count 1 --call-count 2000
1720921008, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1720921020, sol-wasm, v1.0.0, triangle-number, 21.85, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721007702, evm, v0.34.1, triangle-number, 4.98, solc 0.8.1, --instance-count 1 --call-count 2000
1721007204, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1721007234, sol-wasm, v1.0.0, triangle-number, 19.99, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721094078, evm, v0.34.1, triangle-number, 5.08, solc 0.8.1, --instance-count 1 --call-count 2000
1721093562, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1721093556, sol-wasm, v1.0.0, triangle-number, 21.63, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721180574, evm, v0.34.1, triangle-number, 5.00, solc 0.8.1, --instance-count 1 --call-count 2000
1721180034, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1721180040, sol-wasm, v1.0.0, triangle-number, 22.06, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721266890, evm, v0.34.1, triangle-number, 4.94, solc 0.8.1, --instance-count 1 --call-count 2000
1721266356, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1721266386, sol-wasm, v1.0.0, triangle-number, 22.18, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721358504, evm, v0.34.1, triangle-number, 4.86, solc 0.8.1, --instance-count 1 --call-count 2000
1721357958, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1721358018, sol-wasm, v1.0.0, triangle-number, 21.31, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721439702, evm, v0.34.1, triangle-number, 4.92, solc 0.8.1, --instance-count 1 --call-count 2000
1721439138, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1721439168, sol-wasm, v1.0.0, triangle-number, 20.16, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721526252, evm, v0.34.1, triangle-number, 5.08, solc 0.8.1, --instance-count 1 --call-count 2000
1721525682, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1721525700, sol-wasm, v1.0.0, triangle-number, 21.62, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721612586, evm, v0.34.1, triangle-number, 5.04, solc 0.8.1, --instance-count 1 --call-count 2000
1721612010, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1721612004, sol-wasm, v1.0.0, triangle-number, 23.43, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721699028, evm, v0.34.1, triangle-number, 4.90, solc 0.8.1, --instance-count 1 --call-count 2000
1721698512, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1721698488, sol-wasm, v1.0.0, triangle-number, 20.33, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721785398, evm, v0.34.1, triangle-number, 5.02, solc 0.8.1, --instance-count 1 --call-count 2000
1721784834, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1721784828, sol-wasm, v1.0.0, triangle-number, 21.10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721871756, evm, v0.34.1, triangle-number, 4.98, solc 0.8.1, --instance-count 1 --call-count 2000
1721871192, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1721871222, sol-wasm, v1.0.0, triangle-number, 20.51, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721958144, evm, v0.34.1, triangle-number, 5.04, solc 0.8.1, --instance-count 1 --call-count 2000
1721957580, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1721957622, sol-wasm, v1.0.0, triangle-number, 20.23, Solidity 0.3.2, --instance-count 1 --call-count 2000
1722044478, evm, v0.34.1, triangle-number, 4.91, solc 0.8.1, --instance-count 1 --call-count 2000
1722043974, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1722044010, sol-wasm, v1.0.0, triangle-number, 20.33, Solidity 0.3.2, --instance-count 1 --call-count 2000
1722217338, evm, v0.34.1, triangle-number, 4.91, solc 0.8.1, --instance-count 1 --call-count 2000
1722216834, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1722216804, sol-wasm, v1.0.0, triangle-number, 20.29, Solidity 0.3.2, --instance-count 1 --call-count 2000
1722303942, evm, v0.34.1, triangle-number, 4.98, solc 0.8.1, --instance-count 1 --call-count 2000
