1714354368, evm, v0.34.1, flipper, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1718760684, evm, v0.34.1, flipper, 25.79, solc 0.8.1, --instance-count 1 --call-count 2000
1718760660, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1718760672, sol-wasm, v1.0.0, flipper, 21.88, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718847102, evm, v0.34.1, flipper, 24.93, solc 0.8.1, --instance-count 1 --call-count 2000
1718847102, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1718847132, sol-wasm, v1.0.0, flipper, 23.06, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718933478, evm, v0.34.1, flipper, 24.28, solc 0.8.1, --instance-count 1 --call-count 2000
1718933478, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1718933490, sol-wasm, v1.0.0, flipper, 20.50, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719020034, evm, v0.34.1, flipper, 26.43, solc 0.8.1, --instance-count 1 --call-count 2000
1719020010, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1719020004, sol-wasm, v1.0.0, flipper, 20.88, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719106381, evm, v0.34.1, flipper, 28.33, solc 0.8.1, --instance-count 1 --call-count 2000
1719106386, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1719106704, sol-wasm, v1.0.0, flipper, 21.36, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719192984, evm, v0.34.1, flipper, 25.93, solc 0.8.1, --instance-count 1 --call-count 2000
1719192858, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1719192852, sol-wasm, v1.0.0, flipper, 21.38, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719279169, evm, v0.34.1, flipper, 28.15, solc 0.8.1, --instance-count 1 --call-count 2000
1719279216, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1719279162, sol-wasm, v1.0.0, flipper, 21.38, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719365574, evm, v0.34.1, flipper, 27.11, solc 0.8.1, --instance-count 1 --call-count 2000
1719365556, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1719365568, sol-wasm, v1.0.0, flipper, 21.05, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719538314, evm, v0.34.1, flipper, 25.51, solc 0.8.1, --instance-count 1 --call-count 2000
1719538308, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1719538314, sol-wasm, v1.0.0, flipper, 21.81, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719624738, evm, v0.34.1, flipper, 26.47, solc 0.8.1, --instance-count 1 --call-count 2000
1719624732, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1719624732, sol-wasm, v1.0.0, flipper, 23.12, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719711216, evm, v0.34.1, flipper, 27.31, solc 0.8.1, --instance-count 1 --call-count 2000
1719711180, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1719711174, sol-wasm, v1.0.0, flipper, 22.30, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719797736, evm, v0.34.1, flipper, 27.03, solc 0.8.1, --instance-count 1 --call-count 2000
1719797718, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1719797730, sol-wasm, v1.0.0, flipper, 21.64, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719884004, evm, v0.34.1, flipper, 27.44, solc 0.8.1, --instance-count 1 --call-count 2000
1719884004, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1719883968, sol-wasm, v1.0.0, flipper, 22.20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719970320, evm, v0.34.1, flipper, 26.26, solc 0.8.1, --instance-count 1 --call-count 2000
1719970296, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1719970296, sol-wasm, v1.0.0, flipper, 21.61, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720056798, evm, v0.34.1, flipper, 26.90, solc 0.8.1, --instance-count 1 --call-count 2000
1720056768, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1720056774, sol-wasm, v1.0.0, flipper, 20.36, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720143150, evm, v0.34.1, flipper, 26.94, solc 0.8.1, --instance-count 1 --call-count 2000
1720143114, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1720143102, sol-wasm, v1.0.0, flipper, 20.95, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720229418, evm, v0.34.1, flipper, 26.57, solc 0.8.1, --instance-count 1 --call-count 2000
1720229394, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1720229394, sol-wasm, v1.0.0, flipper, 21.33, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720316052, evm, v0.34.1, flipper, 25.10, solc 0.8.1, --instance-count 1 --call-count 2000
1720316046, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1720316064, sol-wasm, v1.0.0, flipper, 20.33, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720402416, evm, v0.34.1, flipper, 26.74, solc 0.8.1, --instance-count 1 --call-count 2000
1720402386, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1720402404, sol-wasm, v1.0.0, flipper, 21.14, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720488762, evm, v0.34.1, flipper, 27.38, solc 0.8.1, --instance-count 1 --call-count 2000
1720488744, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1720488744, sol-wasm, v1.0.0, flipper, 22.67, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720575222, evm, v0.34.1, flipper, 27.11, solc 0.8.1, --instance-count 1 --call-count 2000
1720575186, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1720575216, sol-wasm, v1.0.0, flipper, 21.15, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720747963, evm, v0.34.1, flipper, 28.13, solc 0.8.1, --instance-count 1 --call-count 2000
1720747950, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1720747968, sol-wasm, v1.0.0, flipper, 21.69, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720834495, evm, v0.34.1, flipper, 28.32, solc 0.8.1, --instance-count 1 --call-count 2000
1720834488, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1720834488, sol-wasm, v1.0.0, flipper, 21.75, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720921044, evm, v0.34.1, flipper, 24.78, solc 0.8.1, --instance-count 1 --call-count 2000
1720921086, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1720921032, sol-wasm, v1.0.0, flipper, 22.30, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721007235, evm, v0.34.1, flipper, 28.60, solc 0.8.1, --instance-count 1 --call-count 2000
1721007228, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1721007234, sol-wasm, v1.0.0, flipper, 21.33, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721093586, evm, v0.34.1, flipper, 27.29, solc 0.8.1, --instance-count 1 --call-count 2000
1721093562, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1721093544, sol-wasm, v1.0.0, flipper, 21.37, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721180089, evm, v0.34.1, flipper, 28.48, solc 0.8.1, --instance-count 1 --call-count 2000
1721180058, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1721180058, sol-wasm, v1.0.0, flipper, 22.13, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721266393, evm, v0.34.1, flipper, 28.38, solc 0.8.1, --instance-count 1 --call-count 2000
1721266380, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1721266362, sol-wasm, v1.0.0, flipper, 22.21, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721358012, evm, v0.34.1, flipper, 26.18, solc 0.8.1, --instance-count 1 --call-count 2000
1721358000, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1721358012, sol-wasm, v1.0.0, flipper, 21.75, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721439162, evm, v0.34.1, flipper, 25.72, solc 0.8.1, --instance-count 1 --call-count 2000
1721439162, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1721439168, sol-wasm, v1.0.0, flipper, 21.85, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721525724, evm, v0.34.1, flipper, 27.72, solc 0.8.1, --instance-count 1 --call-count 2000
1721525706, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1721525718, sol-wasm, v1.0.0, flipper, 21.44, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721612028, evm, v0.34.1, flipper, 26.03, solc 0.8.1, --instance-count 1 --call-count 2000
1721612016, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1721612004, sol-wasm, v1.0.0, flipper, 22.86, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721698495, evm, v0.34.1, flipper, 28.40, solc 0.8.1, --instance-count 1 --call-count 2000
1721698494, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1721698476, sol-wasm, v1.0.0, flipper, 20.89, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721784852, evm, v0.34.1, flipper, 26.67, solc 0.8.1, --instance-count 1 --call-count 2000
1721784828, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1721784870, sol-wasm, v1.0.0, flipper, 22.80, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721871228, evm, v0.34.1, flipper, 27.24, solc 0.8.1, --instance-count 1 --call-count 2000
1721871204, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1721871204, sol-wasm, v1.0.0, flipper, 21.31, Solidity 0.3.2, --instance-count 1 --call-count 2000
1721957628, evm, v0.34.1, flipper, 27.71, solc 0.8.1, --instance-count 1 --call-count 2000
1721957610, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1721957598, sol-wasm, v1.0.0, flipper, 21.35, Solidity 0.3.2, --instance-count 1 --call-count 2000
1722044004, evm, v0.34.1, flipper, 27.60, solc 0.8.1, --instance-count 1 --call-count 2000
1722043986, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1722043980, sol-wasm, v1.0.0, flipper, 20.96, Solidity 0.3.2, --instance-count 1 --call-count 2000
1722216834, evm, v0.34.1, flipper, 25.68, solc 0.8.1, --instance-count 1 --call-count 2000
1722216822, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1722216804, sol-wasm, v1.0.0, flipper, 20.77, Solidity 0.3.2, --instance-count 1 --call-count 2000
1722303420, evm, v0.34.1, flipper, 25.29, solc 0.8.1, --instance-count 1 --call-count 2000
1722303402, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1722303396, sol-wasm, v1.0.0, flipper, 21.08, Solidity 0.3.2, --instance-count 1 --call-count 2000
1722389448, evm, v0.34.1, flipper, 24.61, solc 0.8.1, --instance-count 1 --call-count 2000
1722389448, ink-wasm, v1.0.0, flipper, 23.42, ink! 4.3.0, --instance-count 1 --call-count 2000
1722389454, sol-wasm, v1.0.0, flipper, 20.78, Solidity 0.3.2, --instance-count 1 --call-count 2000
