1714354362, evm, v0.34.1, erc20, 11, solc 0.8.1, --instance-count 1 --call-count 2000
1714699902, ink-wasm, v1.0.0, erc20, 13, ink! 4.3.0, --instance-count 1 --call-count 2000
1714699968, sol-wasm, v1.0.0, erc20, 9, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715391114, evm, v0.34.1, erc20, 23.36, solc 0.8.1, --instance-count 1 --call-count 2000
1715391168, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1715391186, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715477688, evm, v0.34.1, erc20, 24.83, solc 0.8.1, --instance-count 1 --call-count 2000
1715477700, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1715477766, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715563914, evm, v0.34.1, erc20, 23.23, solc 0.8.1, --instance-count 1 --call-count 2000
1715563932, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1715564064, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715650374, evm, v0.34.1, erc20, 22.75, solc 0.8.1, --instance-count 1 --call-count 2000
1715650398, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1715650542, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715697414, evm, v0.34.1, erc20, 22.40, solc 0.8.1, --instance-count 1 --call-count 2000
1715697438, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1715697534, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715736744, evm, v0.34.1, erc20, 24.57, solc 0.8.1, --instance-count 1 --call-count 2000
1715736768, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1715736894, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715823102, evm, v0.34.1, erc20, 23.10, solc 0.8.1, --instance-count 1 --call-count 2000
1715823132, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1715823198, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715909520, evm, v0.34.1, erc20, 22.11, solc 0.8.1, --instance-count 1 --call-count 2000
1715909562, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1715909616, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715995860, evm, v0.34.1, erc20, 23.63, solc 0.8.1, --instance-count 1 --call-count 2000
1715995884, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1715995956, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716082410, evm, v0.34.1, erc20, 23.01, solc 0.8.1, --instance-count 1 --call-count 2000
1716082500, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1716082494, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716168708, evm, v0.34.1, erc20, 21.71, solc 0.8.1, --instance-count 1 --call-count 2000
1716168720, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1716168858, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716255126, evm, v0.34.1, erc20, 22.36, solc 0.8.1, --instance-count 1 --call-count 2000
1716255228, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1716255240, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716341509, evm, v0.34.1, erc20, 23.54, solc 0.8.1, --instance-count 1 --call-count 2000
1716341508, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1716341628, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716427842, evm, v0.34.1, erc20, 22.94, solc 0.8.1, --instance-count 1 --call-count 2000
1716427866, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1716427986, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716514302, evm, v0.34.1, erc20, 22.38, solc 0.8.1, --instance-count 1 --call-count 2000
1716514338, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1716514416, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716600702, evm, v0.34.1, erc20, 24.74, solc 0.8.1, --instance-count 1 --call-count 2000
1716600732, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1716600810, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716687222, evm, v0.34.1, erc20, 22.93, solc 0.8.1, --instance-count 1 --call-count 2000
1716687264, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1716687288, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716773568, evm, v0.34.1, erc20, 22.48, solc 0.8.1, --instance-count 1 --call-count 2000
1716773580, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1716773646, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716859897, evm, v0.34.1, erc20, 24.10, solc 0.8.1, --instance-count 1 --call-count 2000
1716859938, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1716860058, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716946296, evm, v0.34.1, erc20, 22.88, solc 0.8.1, --instance-count 1 --call-count 2000
1716946320, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1716946386, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717119108, evm, v0.34.1, erc20, 23.61, solc 0.8.1, --instance-count 1 --call-count 2000
1717119132, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1717119186, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717205550, evm, v0.34.1, erc20, 22.61, solc 0.8.1, --instance-count 1 --call-count 2000
1717205604, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1717205640, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717292010, evm, v0.34.1, erc20, 21.60, solc 0.8.1, --instance-count 1 --call-count 2000
1717292034, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1717292082, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717378392, evm, v0.34.1, erc20, 24.62, solc 0.8.1, --instance-count 1 --call-count 2000
1717378434, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1717378494, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717464774, evm, v0.34.1, erc20, 22.44, solc 0.8.1, --instance-count 1 --call-count 2000
1717464816, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1717464882, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717551084, evm, v0.34.1, erc20, 24.58, solc 0.8.1, --instance-count 1 --call-count 2000
1717551126, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1717551186, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717637514, evm, v0.34.1, erc20, 24.82, solc 0.8.1, --instance-count 1 --call-count 2000
1717637520, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1717637610, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717723884, evm, v0.34.1, erc20, 24.53, solc 0.8.1, --instance-count 1 --call-count 2000
1717723908, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1717723980, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717810332, evm, v0.34.1, erc20, 21.39, solc 0.8.1, --instance-count 1 --call-count 2000
1717810368, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1717810422, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717896877, evm, v0.34.1, erc20, 24.26, solc 0.8.1, --instance-count 1 --call-count 2000
1717896912, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1717896978, sol-wasm, v1.0.0, erc20, 9.37, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717983211, evm, v0.34.1, erc20, 24.53, solc 0.8.1, --instance-count 1 --call-count 2000
1717983222, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1717983288, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718156016, evm, v0.34.1, erc20, 22.94, solc 0.8.1, --instance-count 1 --call-count 2000
1718156016, ink-wasm, v1.0.0, erc20, 12.72, ink! 4.3.0, --instance-count 1 --call-count 2000
1718156094, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718242374, evm, v0.34.1, erc20, 22.12, solc 0.8.1, --instance-count 1 --call-count 2000
1718242392, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1718242452, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718328708, evm, v0.34.1, erc20, 22.88, solc 0.8.1, --instance-count 1 --call-count 2000
1718328762, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1718328810, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718415151, evm, v0.34.1, erc20, 24.24, solc 0.8.1, --instance-count 1 --call-count 2000
1718415162, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1718415210, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718501665, evm, v0.34.1, erc20, 24.44, solc 0.8.1, --instance-count 1 --call-count 2000
1718501712, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1718501778, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718587956, evm, v0.34.1, erc20, 24.69, solc 0.8.1, --instance-count 1 --call-count 2000
1718587986, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1718588040, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718674344, evm, v0.34.1, erc20, 22.20, solc 0.8.1, --instance-count 1 --call-count 2000
1718674362, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1718674434, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718760702, evm, v0.34.1, erc20, 24.79, solc 0.8.1, --instance-count 1 --call-count 2000
1718760726, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1718760786, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718847114, evm, v0.34.1, erc20, 21.49, solc 0.8.1, --instance-count 1 --call-count 2000
1718847174, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1718847234, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718933502, evm, v0.34.1, erc20, 21.40, solc 0.8.1, --instance-count 1 --call-count 2000
1718933514, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1718933580, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719020064, evm, v0.34.1, erc20, 23.19, solc 0.8.1, --instance-count 1 --call-count 2000
1719020064, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1719020124, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719106711, evm, v0.34.1, erc20, 24.24, solc 0.8.1, --instance-count 1 --call-count 2000
1719106752, ink-wasm, v1.0.0, erc20, 12.72, ink! 4.3.0, --instance-count 1 --call-count 2000
1719106476, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719192828, evm, v0.34.1, erc20, 21.25, solc 0.8.1, --instance-count 1 --call-count 2000
1719192852, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1719192954, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719279174, evm, v0.34.1, erc20, 22.55, solc 0.8.1, --instance-count 1 --call-count 2000
1719279204, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1719279294, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719365580, evm, v0.34.1, erc20, 24.96, solc 0.8.1, --instance-count 1 --call-count 2000
1719365586, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1719365676, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719538350, evm, v0.34.1, erc20, 23.51, solc 0.8.1, --instance-count 1 --call-count 2000
1719538368, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1719538452, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719624762, evm, v0.34.1, erc20, 22.51, solc 0.8.1, --instance-count 1 --call-count 2000
1719624786, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1719624858, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719711204, evm, v0.34.1, erc20, 21.62, solc 0.8.1, --instance-count 1 --call-count 2000
1719711240, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1719711312, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719797748, evm, v0.34.1, erc20, 22.31, solc 0.8.1, --instance-count 1 --call-count 2000
1719797790, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1719797874, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719884017, evm, v0.34.1, erc20, 23.88, solc 0.8.1, --instance-count 1 --call-count 2000
1719884028, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1719884082, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719970344, evm, v0.34.1, erc20, 22.63, solc 0.8.1, --instance-count 1 --call-count 2000
1719970356, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1719970416, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720056817, evm, v0.34.1, erc20, 24.32, solc 0.8.1, --instance-count 1 --call-count 2000
1720056834, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1720056882, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720143126, evm, v0.34.1, erc20, 23.42, solc 0.8.1, --instance-count 1 --call-count 2000
1720143162, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1720143228, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720229448, evm, v0.34.1, erc20, 23.13, solc 0.8.1, --instance-count 1 --call-count 2000
1720229442, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1720229520, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720316064, evm, v0.34.1, erc20, 21.30, solc 0.8.1, --instance-count 1 --call-count 2000
1720316100, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1720316196, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720402422, evm, v0.34.1, erc20, 22.94, solc 0.8.1, --instance-count 1 --call-count 2000
1720402458, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1720402500, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
1720488762, evm, v0.34.1, erc20, 22.48, solc 0.8.1, --instance-count 1 --call-count 2000
1720488810, ink-wasm, v1.0.0, erc20, 13.77, ink! 4.3.0, --instance-count 1 --call-count 2000
1720488858, sol-wasm, v1.0.0, erc20, 9.39, Solidity 0.3.2, --instance-count 1 --call-count 2000
